SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,VESA Mount,Power,Colour,Stock,ALP,DAC
5143081,Z0VQ_2000479145_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,512GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1724.17,1672.65
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,512GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1757.5,1704.73
5143082,Z0VQ_2000428774_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,512GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1790,1736.81
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,512GB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1823.33,1768.89
5148104,Z0VQ_2000414673_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1832.5,1778.91
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1865.83,1810.99
5143083,Z0VQ_2000466397_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1874.17,1819.01
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1907.5,1851.09
5143085,Z0VQ_2000416630_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1940,1883.17
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,8GB 2666MHz DDR4,1TB SSD,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1973.33,1915.25
5148099,Z0VQ_2000411370_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,16GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1607.5,1560.37
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,16GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1640.83,1592.45
5143073,Z0VQ_2000448981_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,16GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1649.17,1600.47
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,16GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1682.5,1632.55
5143074,Z0VQ_2000479144_CTO,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,16GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1715,1664.63
,NOT YET CONFIGURED,MRQY2B/A,3.0GHz 6-core 8th-generation Intel Core i5 processor,16GB 2666MHz DDR4,1TB Fusion Drive,Radeon Pro 570X with 4GB GDDR5 memory,Apple Magic Mouse 2 + Apple Magic Trackpad 2,UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1748.33,1696.71
