SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,Power,Colour,Stock,ALP,DAC
4573715,Z0UR_2000332491_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5282.5,4981.55
4573885,Z0UR_2000334102_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5324.17,5021.65
4573886,Z0UR_2000334103_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5406.67,5101.85
4573751,Z0UR_2000332185_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5695,5382.55
4573814,Z0UR_2000333332_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5736.67,5422.65
4573815,Z0UR_2000333331_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5819.17,5502.85
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5807.5,5491.83
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5849.17,5531.93
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5931.67,5612.13
4573698,Z0UR_2000332474_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",128GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5582.5,5418.65
