"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Stock","ALP","DAC"
5512935,"Z0XZ_62_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2824.17,2684.97
5512973,"Z0XZ_2000478642_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2899.17,2757.15
5512892,"Z0XZ_47_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3049.17,2899.5
5512936,"Z0XZ_63_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3124.17,2970.68
5512974,"Z0XZ_71_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3199.17,3042.86
5512893,"Z0XZ_48_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3499.17,3327.57
5512937,"Z0XZ_64_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3574.17,3398.75
5512975,"Z0XZ_72_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3649.17,3470.93
5512894,"Z0XZ_49_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,4399.17,4184.72
5512968,"Z0XZ_65_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,4474.17,4255.9
5512976,"Z0XZ_73_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","64GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,4549.17,4328.08
5512699,"Z0XZ_2000478131_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","16GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2257.5,2144.61
5512703,"Z0XZ_2000476199_CTO","MVVJ2B/A","2.4GHz 8-core 9th-generation Intel Core i9 processor, Turbo Boost up to 5.0GHz","16GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2332.5,2215.79
